iter	Passed	Remaining
813	1160	265
814	1161	263
815	1163	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1169	254
821	1170	253
822	1171	252
823	1172	250
824	1174	249
825	1175	247
826	1176	246
827	1177	244
828	1178	243
829	1180	241
830	1181	240
831	1182	238
832	1183	237
833	1184	235
834	1186	234
835	1187	232
836	1188	231
837	1189	230
838	1190	228
839	1192	227
840	1193	225
841	1194	224
842	1195	222
843	1196	221
844	1197	219
845	1199	218
846	1200	216
847	1201	215
848	1202	213
849	1204	212
850	1205	211
851	1206	209
852	1207	208
853	1209	206
854	1210	205
855	1211	203
856	1212	202
857	1213	200
858	1215	199
859	1216	198
860	1217	196
861	1218	195
862	1220	193
863	1221	192
864	1222	190
865	1224	189
866	1225	187
867	1226	186
868	1227	185
869	1228	183
870	1230	182
871	1231	180
872	1232	179
873	1234	177
874	1235	176
875	1236	175
876	1237	173
877	1238	172
878	1240	170
879	1241	169
880	1242	167
881	1243	166
882	1244	164
883	1246	163
884	1247	162
885	1248	160
886	1249	159
887	1250	157
888	1252	156
889	1253	154
890	1254	153
891	1255	152
892	1257	150
893	1258	149
894	1259	147
895	1261	146
896	1262	144
897	1263	143
898	1265	142
899	1266	140
900	1267	139
901	1268	137
902	1269	136
903	1270	134
904	1272	133
905	1273	132
906	1274	130
907	1276	129
908	1277	127
909	1278	126
910	1279	125
911	1281	123
912	1282	122
913	1283	120
914	1284	119
915	1285	117
916	1287	116
917	1288	115
918	1289	113
919	1290	112
920	1291	110
921	1293	109
922	1294	107
923	1295	106
924	1296	105
925	1297	103
926	1298	102
927	1300	100
928	1301	99
929	1302	98
930	1303	96
931	1304	95
932	1306	93
933	1307	92
934	1308	90
935	1309	89
936	1310	88
937	1312	86
938	1313	85
939	1314	83
940	1315	82
941	1316	81
942	1318	79
943	1319	78
944	1320	76
945	1321	75
946	1323	74
947	1324	72
948	1325	71
949	1326	69
950	1327	68
951	1328	67
952	1330	65
953	1331	64
954	1332	62
955	1333	61
956	1334	59
957	1336	58
958	1337	57
959	1338	55
960	1339	54
961	1340	52
962	1342	51
963	1343	50
964	1344	48
965	1345	47
966	1346	45
967	1347	44
968	1349	43
969	1350	41
970	1351	40
971	1352	38
972	1354	37
973	1355	36
974	1356	34
975	1357	33
976	1358	31
977	1360	30
978	1361	29
979	1362	27
980	1363	26
981	1364	25
982	1366	23
983	1367	22
984	1368	20
985	1369	19
986	1370	18
987	1372	16
988	1373	15
989	1374	13
990	1375	12
991	1376	11
992	1377	9
993	1379	8
994	1380	6
995	1381	5
996	1382	4
997	1383	2
998	1385	1
999	1386	0
